orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Tense,VerbForm,Voice,Case,Gender,Number,Mood,Person,Aspect
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,χλόη,(),False,xx́xxx,False,False,False,False,,,,Dat,Fem,Sing,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,πραγμάτων,(),False,xx͂x,False,False,False,False,,,,Gen,Neut,Plur,,,
πραγμάτων,πραγμάτων,πραγμάτων,πραγμάτων,των,π,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,φύσει,(),False,xxxx́xxx,False,False,False,False,,,,Gen,Neut,Plur,,,
χλόη,χλόη,χλόη,χλόη,όη,χ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ccomp,0.0,φησί,(),False,xxx́x,False,False,False,False,,,,Nom,Fem,Sing,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,χλόη,(),False,",",False,True,False,False,,,,,,,,,
φησί,φησί,φησί,φησί,σί,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησί,(),False,xxxx́,False,False,False,False,Pres,Fin,Act,,,Sing,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἦν,(),False,",",False,True,False,False,,,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,dep,0.0,φησί,(),False,x̓͂x,False,False,False,False,Past,Fin,Act,,,Sing,Ind,3,Imp
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καὶ,(),False,",",False,True,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἀνατεῖλαι,(),False,xxx̀,False,False,False,False,,,,,,,,,
πρὶν,πρὶν,πρὶν,πρὶν,ὶν,π,-20.0,SCONJ,c--------,,mark,0.0,ἀνατεῖλαι,(),False,xxx̀x,False,False,False,False,,,,,,,,,
ἀνατεῖλαι,ἀνατεῖλαι,ἀνατεῖλαι,ἀνατεῖλαι,λαι,α,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,advcl,0.0,ὁρατός,(),False,x̓xxxx͂xxx,False,False,False,False,Past,Inf,Act,,,,,,
χόριον,χόριον,χόριον,χόριον,ιον,χ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀνατεῖλαι,(),False,xx́xxxx,False,False,False,False,,,,Acc,Neut,Sing,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀγρῷ,(),False,x̓x,False,False,False,False,,,,,,,,,
ἀγρῷ,ἀγρῷ,ἀγρῷ,ἀγρῷ,ῷ,α,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἀνατεῖλαι,(),False,x̓xxx͂ͅ,False,False,False,False,,,,Dat,Masc,Sing,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνατεῖλαι,(),False,",",False,True,False,False,,,,,,,,,
χόρτος,χόρτος,χόρτος,χόρτος,τος,χ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὁρατός,(),False,xx́xxxx,False,False,False,False,,,,Nom,Masc,Sing,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,ὁρατός,(),False,x̓͂x,False,False,False,False,Past,Fin,Act,,,Sing,Ind,3,Imp
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ὁρατός,(),False,xx̓,False,False,False,False,,,,,,,,,
ὁρατός,ὁρατός,ὁρατός,ὁρατός,ός,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ccomp,0.0,φησί,(),False,x̔xxxx́x,False,False,False,False,,,,Nom,Masc,Sing,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,φησί,(),False,.,False,True,False,False,,,,,,,,,
