orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,γένη,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,
θνητὰ,θνητὰ,θνητὰ,θνητὰ,τὰ,θ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,γένη,(),False,xxxx̀,False,False,False,False,Acc,Neut,Plur,,,,,
γένη,γένη,γένος,γένη,́νη,γ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἐνεχείρει,(),False,xx́xx,False,False,False,False,Acc,Neut,Plur,,,,,
ζῳοπλαστεῖν,ζῳοπλαστεῖν,ζῳοπλαστεῖν,ζῳοπλαστεῖν,ῖν,ζ,-20.0,VERB,v--ana---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,ἐνεχείρει,(),False,xxͅxxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,
ἐνεχείρει,ἐνεχείρει,ἐνεχείρω,ἐνεχείρει,ρει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐνεχείρει,(),False,x̓xxxx́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ποιούμενος,(),False,",",False,True,False,False,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀρχὴν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ἀρχὴν,ἀρχὴν,ἀρχὴ,ἀρχὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ποιούμενος,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,ἐνύδρων,(),False,x̓xx̀,False,False,False,False,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἐνύδρων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
ἐνύδρων,ἐνύδρων,ἐνύδρων,ἐνύδρων,ρων,ε,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,ποιούμενος,(),False,x̓xx́xxxx,False,False,False,False,Gen,Neut,Plur,,,,,
ποιούμενος,ποιούμενος,ποιούμενος,ποιούμενος,νος,π,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐνεχείρει,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,
ἡμέρᾳ,ἡμέρᾳ,ἡμέρᾳ,ἡμέρᾳ,ρᾳ,η,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ποιούμενος,(),False,x̔xx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,
πέμπτῃ,πέμπτῃ,πέμπτῃ,πέμπτῃ,τῃ,π,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,ἡμέρᾳ,(),False,xx́xxxxͅ,False,False,False,False,Dat,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,νομίσας,(),False,",",False,True,False,False,,,,,,,,
νομίσας,νομίσας,νομίζω,νομίσας,σας,ν,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐνεχείρει,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,
οὐδὲν,οὐδὲν,οὐδὲν,οὐδὲν,ὲν,ο,-20.0,ADJ,Px,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,νομίσας,(),False,xx̓xx̀x,False,False,False,False,Acc,Neut,Sing,,,,,
οὕτως,οὕτως,οὕτω(ς),οὕτως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,ἕτερον,(),False,xx̔́xxx,False,False,False,False,,,,,,,,
ἕτερον,ἕτερον,ἕτερος,ἕτερον,ρον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,οὐδὲν,(),False,x̔́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,
ἑτέρῳ,ἑτέρῳ,ἑτέρῳ,ἑτέρῳ,ρῳ,ε,-20.0,ADJ,A-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,συγγενὲς,(),False,x̔xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,
συγγενὲς,συγγενὲς,συγγενὲς,συγγενὲς,ὲς,σ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,οὐδὲν,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,πεντάδα,(),False,x̔x,False,False,False,False,,,,,,,,
ζῴοις,ζῴοις,ζῴοις,ζῴοις,οις,ζ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,ὡς,(),False,xx́ͅxxx,False,False,False,False,Dat,Masc,Plur,,,,,
πεντάδα,πεντάδα,πεντάς,πεντάδα,́δα,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,οὐδὲν,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐνεχείρει,(),False,.,False,True,False,False,,,,,,,,
