orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree,PronType
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐδημιούργει,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κυβερνᾷ,(),False,",",False,True,False,False,,,,,,,,,,,
ἵνα,ἵνα,ἵνα,ἵνα,́να,ι,-20.0,SCONJ,c--------,,mark,0.0,κυβερνᾷ,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,
ἡνιοχῇ,ἡνιοχῇ,ἡνιοχῇ,ἡνιοχῇ,ῇ,η,-20.0,NOUN,Nb,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,κυβερνᾷ,(),False,x̔xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,d--------,,advmod,0.0,κυβερνᾷ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
κυβερνᾷ,κυβερνᾷ,κυβερνᾷ,κυβερνᾷ,ᾷ,κ,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,ἐδημιούργει,(),False,xxxx͂ͅ,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,περίγεια,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,,
περίγεια,περίγεια,περίγειος,περίγεια,εια,π,-20.0,ADJ,A-,Case=Acc|Degree=Pos|Gender=Neut|Number=Plur,obj,0.0,κυβερνᾷ,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,Pos,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,περίγεια,"(φυτῶν,)",False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ζῴων,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
φυτῶν,φυτῶν,φυτῶν,φυτῶν,ῶν,φ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,ζῴων,"(ζῴων,)",False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,,
λαβὼν,λαβὼν,λαβὼν,λαβὼν,ὼν,λ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,κυβερνᾷ,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,Past,Part,Act,,
τὴν,τὴν,τὴ,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐπιμέλειαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,,
ἐπιμέλειαν,ἐπιμέλειαν,ἐπιμέλεια,ἐπιμέλειαν,ιαν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,λαβὼν,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,
οἷά,οἷά,οἷά,οἷά,͂ά,ο,-20.0,PRON,Pr,Case=Acc|Gender=Neut|Number=Plur|PronType=Rel,dep,0.0,κυβερνᾷ,(),False,xx̔͂x́,False,False,False,False,Acc,Neut,Plur,,,,,,,,Rel
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ὕπαρχος,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,,
ὕπαρχος,ὕπαρχος,ὕπαρχος,ὕπαρχος,χος,υ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,οἷά,(),False,x̔́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,βασιλέως,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,,
πρώτου,πρώτου,πρώτου,πρώτου,του,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,βασιλέως,"(μεγάλου,)",False,xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πρώτου,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
μεγάλου,μεγάλου,μεγάλου,μεγάλου,λου,μ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,πρώτου,"(πρώτου,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,,
βασιλέως,βασιλέως,βασιλέως,βασιλέως,́ως,β,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ὕπαρχος,(),False,xxxx́xx,False,False,False,False,Gen,Masc,Sing,,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐδημιούργει,(),False,.,False,True,False,False,,,,,,,,,,,
