orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Mood,Person,Degree
ὄνομα,ὄνομα,ὄνομα,ὄνομα,ομα,ο,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,συνθεῖσιν,(),False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
συνθεῖσιν,συνθεῖσιν,συνθεῖσιν,συνθεῖσιν,σιν,σ,-20.0,VERB,v-papamd-,Case=Dat|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,καλέσαι,(),False,xxxx͂xxx,False,False,False,False,Dat,Masc,Plur,,Past,Part,Act,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἔδοξεν,(),False,·,False,True,False,False,,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,γυναῖκα,(),False,xx̓,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,μεμίμηται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
γῆ,γῆ,γῆ,γῆ,γῆ,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,γυναῖκα,(),False,xx͂,False,False,False,False,Nom,Fem,Sing,,,,,,,
γυναῖκα,γυναῖκα,γυναῖκα,γυναῖκα,͂κα,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,μεμίμηται,(),False,xxxx͂xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὡς,(),False,",",False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,εἶπε,(),False,x̔x,False,False,False,False,,,,,,,,,,
εἶπε,εἶπε,εἶπον,εἶπε,͂πε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,γυναῖκα,(),False,xx̓͂xx,False,False,False,False,,,Sing,,Past,Fin,Act,Ind,3,
πλάτων,πλάτων,πλάτων,πλάτων,των,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,εἶπε,(),False,xxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἶπε,(),False,",",False,True,False,False,,,,,,,,,,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,γυναῖκα,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,,
γυνὴ,γυνὴ,γυνὴ,γυνὴ,νὴ,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,μεμίμηται,(),False,xxxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,μεμίμηται,(),False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μεμίμηται,μεμίμηται,μεμίμηται,μεμίμηται,ται,μ,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,μεμίμηται,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Perf,Past,Fin,Mid,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἴωθεν,(),False,",",False,True,False,False,,,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,dep,0.0,εἴωθεν,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐτύμως,ἐτύμως,ἐτύμως,ἐτύμως,μως,ε,-20.0,ADV,d--------,,advmod,0.0,ὀνομάζειν,(),False,x̓xx́xxx,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,γένος,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
ποιητικὸν,ποιητικὸν,ποιητικὸν,ποιητικὸν,ὸν,π,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,γένος,(),False,xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,εἴωθεν,(),False,xx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
παμμήτορα,παμμήτορα,παμμήτωρ,παμμήτορα,ορα,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,xcomp,0.0,ὀνομάζειν,"(καρποφόρον,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,παμμήτορα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
καρποφόρον,καρποφόρον,καρποφόρος,καρποφόρον,ρον,κ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,παμμήτορα,"(παμμήτορα,)",False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,παμμήτορα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πανδώραν,πανδώραν,πανδώρα,πανδώραν,ραν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,xcomp,0.0,ὀνομάζειν,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
εἴωθεν,εἴωθεν,εἴωθα,εἴωθεν,θεν,ε,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,γυναῖκα,(),False,xx̓́xxxx,False,False,False,False,,,Sing,Perf,Past,Fin,Act,Ind,3,
ὀνομάζειν,ὀνομάζειν,ὀνομάζω,ὀνομάζειν,ειν,ο,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,εἴωθεν,(),False,x̓xxxx́xxxx,False,False,False,False,,,,,Pres,Inf,Act,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδὴ,(),False,",",False,True,False,False,,,,,,,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,αἰτία,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,αἰτία,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
αἰτία,αἰτία,αἰτία,αἰτία,ία,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,advcl,0.0,μεμίμηται,(),False,xx̓xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,,
γενέσεως,γενέσεως,γενέσεως,γενέσεως,εως,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,αἰτία,"(διαμονῆς, φυτῶν)",False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γενέσεως,(),False,xxx̀,False,False,False,False,,,,,,,,,,
διαμονῆς,διαμονῆς,διαμονῆς,διαμονῆς,ῆς,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,γενέσεως,"(γενέσεως, φυτῶν)",False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,γενέσεως,(),False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὁμοῦ,ὁμοῦ,ὁμοῦ,ὁμοῦ,οῦ,ο,-20.0,ADV,d--------,,advmod,0.0,γενέσεως,(),False,x̔xxx͂,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γενέσεως,(),False,xxx̀,False,False,False,False,,,,,,,,,,
φυτῶν,φυτῶν,φυτῶν,φυτῶν,ῶν,φ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,γενέσεως,"(γενέσεως, διαμονῆς)",False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,αἰτία,(),False,x̓xxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,μεμίμηται,(),False,.,False,True,False,False,,,,,,,,,,
