orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συνεστώς,(),False,",",False,True,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,σώματος,(),False,x̓x,False,False,False,False,,,,,,,,,,
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,συνεστώς,"(ψυχῆς,)",False,xx́xxxx,False,False,False,False,Gen,,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σώματος,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ψυχῆς,ψυχῆς,ψυχῆς,ψυχῆς,ῆς,ψ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,σώματος,"(σώματος,)",False,xxxx͂x,False,False,False,False,Gen,,Fem,Sing,,,,,,
συνεστώς,συνεστώς,συνεστώς,συνεστώς,ώς,σ,-20.0,VERB,v-srpamn-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,μετέχων,(),False,xxxx́x,False,False,False,False,Nom,,Masc,Sing,,,Past,Part,Act,Perf
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνὴρ,(),False,",",False,True,False,False,,,,,,,,,,
ἀνὴρ,ἀνὴρ,ἀνὴρ,ἀνὴρ,ὴρ,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,μετέχων,"(μετέχων, θνητός, γυνή)",False,x̓xx̀x,False,False,False,False,Nom,,Masc,Sing,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἀνὴρ,(),False,x̓̀,False,False,False,False,,,,,,,,,,
γυνή,γυνή,γυνή,γυνή,νή,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἀνὴρ,"(μετέχων, ἀνὴρ, θνητός)",False,xxxx́,False,False,False,False,Nom,,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνὴρ,(),False,",",False,True,False,False,,,,,,,,,,
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,θνητός,(),False,xx́xxx,False,False,False,False,Dat,,Fem,Sing,,,,,,
θνητός,θνητός,θνητός,θνητός,ός,θ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,μετέχων,"(μετέχων, ἀνὴρ, γυνή)",False,xxxx́x,False,False,False,False,Nom,,Masc,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὁ,(),False,·,False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,νοητός,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,νοητός,(),False,xx̀,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,εἰκόνα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,εἰκόνα,(),False,xx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,,
εἰκόνα,εἰκόνα,εἰκόνα,εἰκόνα,́να,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἰδέα,(),False,xx̓xx́xx,False,False,False,False,Acc,,Fem,Sing,,,,,,
ἰδέα,ἰδέα,ἰδέα,ἰδέα,έα,ι,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,νοητός,"(γένος, σφραγίς)",False,x̓xx́x,False,False,False,False,Nom,,Fem,Sing,,,,,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,ἰδέα,(),True,xxx,True,False,False,False,Nom,,Fem,Sing,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,ἰδέα,(),False,x̓̀,False,False,False,False,,,,,,,,,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ἰδέα,"(ἰδέα, σφραγίς)",False,xx́xxx,False,False,False,False,Nom,,Neut,Sing,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἰδέα,(),False,x̓̀,False,False,False,False,,,,,,,,,,
σφραγίς,σφραγίς,σφραγίς,σφραγίς,ίς,σ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἰδέα,"(ἰδέα, γένος)",False,xxxx́x,False,False,False,False,Nom,,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἰδέα,(),False,",",False,True,False,False,,,,,,,,,,
νοητός,νοητός,νοητός,νοητός,ός,ν,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,νοητός,"(ἀσώματος,)",False,xxxx́x,False,False,False,False,Nom,,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀσώματος,(),False,",",False,True,False,False,,,,,,,,,,
ἀσώματος,ἀσώματος,ἀσώματος,ἀσώματος,τος,α,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,νοητός,"(νοητός,)",False,x̓xx́xxxx,False,False,False,False,Nom,,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οὔτε᾽,(),False,",",False,True,False,False,,,,,,,,,,
οὔτε᾽,οὔτε᾽,οὔτε᾽,οὔτε᾽,τε᾽,ο,-20.0,PUNCT,V-,,obl,0.0,ἀσώματος,(),False,xx̓́xx᾽,False,False,False,False,,,,,,,,,,
ἄρρεν,ἄρρεν,ἄρρην,ἄρρεν,ρεν,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,νοητός,"(θῆλυ,)",False,x̓́xxxx,False,False,False,False,Acc,,Neut,Sing,,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,ADV,d--------,,cc,0.0,ἄρρεν,(),False,xx̓́xx,False,False,False,False,,,,,,,,,,
θῆλυ,θῆλυ,θῆλυς,θῆλυ,͂λυ,θ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ἄρρεν,"(ἄρρεν,)",False,xx͂xx,False,False,False,False,Acc,,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄφθαρτος,(),False,",",False,True,False,False,,,,,,,,,,
ἄφθαρτος,ἄφθαρτος,ἄφθαρτος,ἄφθαρτος,τος,α,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἄφθαρτος,(),False,x̓́xxxx,False,False,False,False,Nom,,Fem,Sing,,,,,,
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἄφθαρτος,(),False,xx́xxx,False,False,False,False,Dat,,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἄφθαρτος,(),False,.,False,True,False,False,,,,,,,,,,
